train_loss,val_loss
1.288519175829027155e-02,5.378248635679483414e-03
4.595297970809042454e-03,3.818044671788811684e-03
3.359471868448467378e-03,1.563194557093083858e-03
2.046263240944509558e-03,1.092672115191817284e-03
1.564826738269237691e-03,9.591907146386802197e-04
1.519171544218393590e-03,6.410237401723861694e-04
1.351749958385797985e-03,6.982280174270272255e-04
1.187520934432872077e-03,5.300389020703732967e-04
1.112071258830837905e-03,5.942026618868112564e-04
1.451093280179934029e-03,4.963820683769881725e-04
1.176459374784661347e-03,5.145594477653503418e-04
1.136766538944688132e-03,6.717899232171475887e-04
1.394426884044977673e-03,6.066252244636416435e-04
1.052706077726642438e-03,4.411706177052110434e-04
1.328966534029776998e-03,5.978029221296310425e-04
8.857846531265585075e-04,4.786382196471095085e-04
9.606142312722196252e-04,4.752620006911456585e-04
1.118924207482698647e-03,5.432069301605224609e-04
1.106947192139076837e-03,5.044145509600639343e-04
9.379032060017132143e-04,5.190472584217786789e-04
1.023090963744008146e-03,6.537949084304273129e-04
1.069166704176247778e-03,5.135334213264286518e-04
9.860100280176002305e-04,5.348773556761443615e-04
1.047093855793884134e-03,6.805379525758326054e-04
1.236740113447674276e-03,4.703474405687302351e-04
9.716895067619836946e-04,5.571852670982480049e-04
1.010813077631279389e-03,5.456008366309106350e-04
1.044331771316303050e-03,4.971810849383473396e-04
1.015799033418509452e-03,6.022344459779560566e-04
8.972791884761219293e-04,4.110176814720034599e-04
9.309010162145237932e-04,7.409601821564137936e-04
8.973120003991590489e-04,5.413559265434741974e-04
1.027446277889380779e-03,4.770034283865243196e-04
7.329065668851729920e-04,4.257594409864395857e-04
1.185002363027623691e-03,8.153746020980179310e-04
9.294876336670396299e-04,5.012551555410027504e-04
1.095801183096641127e-03,6.927099893800914288e-04
9.998233475595373013e-04,5.887494189664721489e-04
8.642469706087881585e-04,4.476732574403285980e-04
9.149868399783207427e-04,4.753180837724357843e-04
8.279313789733515729e-04,4.716781259048730135e-04
6.649518234718760799e-04,3.851542132906615734e-04
9.090646357931705078e-04,4.668500041589140892e-04
7.848932264923033685e-04,5.028283339925110340e-04
8.864536602314645975e-04,4.599263484124094248e-04
8.931978114891204546e-04,4.984433180652558804e-04
6.898715119777162940e-04,5.036804941482841969e-04
8.756324671346440037e-04,5.093485815450549126e-04
7.658197507473894338e-04,5.172360106371343136e-04
6.740648949000222932e-04,4.913052543997764587e-04
8.466909857816062868e-04,4.986684652976691723e-04
