train_loss,val_loss
4.002294081987606278e-02,2.553075365722179413e-02
2.323260712954733007e-02,2.170269563794136047e-02
1.914446132464541275e-02,1.706824824213981628e-02
1.633776954582168150e-02,1.537215895950794220e-02
1.487176236179139910e-02,1.422686595469713211e-02
1.358171553971866848e-02,1.293864753097295761e-02
1.290950734789172820e-02,1.241073664277791977e-02
1.183993952969710113e-02,1.110964827239513397e-02
1.111365220405989215e-02,1.070345472544431686e-02
1.051393617979354267e-02,1.036607474088668823e-02
1.011428505492707047e-02,1.076810155063867569e-02
9.693985618650913932e-03,9.144266135990619659e-03
9.346535703581239710e-03,9.219788946211338043e-03
8.949574807451831163e-03,8.563683368265628815e-03
8.707340752395490574e-03,8.280620910227298737e-03
8.460183040652838327e-03,8.338922634720802307e-03
8.252120266358057080e-03,8.038201369345188141e-03
8.083716909297638392e-03,7.916194386780261993e-03
7.745273879522250604e-03,7.869577035307884216e-03
7.626496752103169643e-03,7.402693387120962143e-03
7.523978447231153763e-03,7.546550594270229340e-03
7.348767523136403960e-03,7.244146429002285004e-03
7.182695853730870945e-03,6.934023927897214890e-03
7.016552456965048819e-03,6.734452676028013229e-03
6.930385584322114843e-03,6.565520074218511581e-03
6.806129866486622208e-03,6.969234906136989594e-03
6.646868731412622529e-03,6.500057876110076904e-03
6.678774916670389070e-03,6.410268135368824005e-03
6.447415027974380368e-03,6.979845929890871048e-03
6.418095976631674367e-03,6.224886048585176468e-03
6.258067175642484034e-03,6.103298626840114594e-03
6.244763698325389231e-03,6.294391583651304245e-03
6.133988652274839984e-03,6.144731771200895309e-03
6.114803839267955732e-03,6.112552713602781296e-03
5.998824741173949295e-03,6.032849196344614029e-03
5.969274263932473207e-03,5.955800879746675491e-03
5.968600278720259666e-03,6.158561445772647858e-03
5.857185900418294608e-03,5.701823160052299500e-03
5.820421088072989108e-03,5.893800407648086548e-03
5.675413857938515182e-03,5.964953918009996414e-03
5.673863048044344021e-03,5.580523982644081116e-03
5.567306996737089730e-03,5.590983666479587555e-03
5.576078601491948200e-03,5.526384338736534119e-03
5.456343207818766319e-03,5.378729663789272308e-03
5.445465543824765629e-03,5.656486377120018005e-03
