train_loss,val_loss
8.521287329494953156e-02,6.601931154727935791e-02
6.035336358472705165e-02,5.865205451846122742e-02
5.363319879397750178e-02,4.995259642601013184e-02
4.826698945835232457e-02,4.666516184806823730e-02
4.636222720146179060e-02,4.338254407048225403e-02
4.336016476154327254e-02,4.127793386578559875e-02
4.169032508507371226e-02,3.857710584998130798e-02
3.895213790237903734e-02,3.892520070075988770e-02
3.907391158863902231e-02,3.582464903593063354e-02
3.707020720466971259e-02,3.470087796449661255e-02
3.722443217411637584e-02,3.487186506390571594e-02
3.546359376050532003e-02,3.320055082440376282e-02
3.489622836932539801e-02,3.441504389047622681e-02
3.358043623156845708e-02,3.551746159791946411e-02
3.418488921597599706e-02,3.297255188226699829e-02
3.266430036164820472e-02,3.099492937326431274e-02
3.187533747404813766e-02,3.198568895459175110e-02
3.202292299829423428e-02,2.986793965101242065e-02
3.334464393556117734e-02,3.343628346920013428e-02
3.376395991072058539e-02,3.074985370039939880e-02
3.237708439119160037e-02,3.087005205452442169e-02
3.218987067230046073e-02,3.004130534827709198e-02
3.073190795257687430e-02,2.837481349706649780e-02
3.049931856803595950e-02,2.826133370399475098e-02
3.028995115309953551e-02,2.976849302649497986e-02
2.957957619801163812e-02,3.027975745499134064e-02
3.017553328536450724e-02,2.898767031729221344e-02
2.899402822367846966e-02,2.731984108686447144e-02
3.007907844148576329e-02,2.808004803955554962e-02
2.884165807627141545e-02,2.715602889657020569e-02
2.871905500069260597e-02,2.778345160186290741e-02
2.877213731408119132e-02,2.906701341271400452e-02
2.865181230008602073e-02,2.735765278339385986e-02
2.862502690404653688e-02,2.778405509889125824e-02
2.976009179838001728e-02,2.698518522083759308e-02
2.803184879012405803e-02,2.729289419949054718e-02
2.859652535989880631e-02,2.808054350316524506e-02
2.916426374576985836e-02,2.664513699710369110e-02
2.687044255435466766e-02,2.561402879655361176e-02
2.860613674856722285e-02,2.740431949496269226e-02
2.714055757969617913e-02,2.601416967809200287e-02
2.623322005383670399e-02,2.442559041082859039e-02
2.589276996441185544e-02,2.594505436718463898e-02
2.670811237767338822e-02,2.638102322816848755e-02
2.564919334836304049e-02,2.471798658370971680e-02
2.459421791136264662e-02,2.436520718038082123e-02
2.604205589741468568e-02,2.523997239768505096e-02
2.670772471465170453e-02,2.576160244643688202e-02
2.598633170127868583e-02,2.475324459373950958e-02
2.579979435540735722e-02,2.401140332221984863e-02
2.624262473545968533e-02,2.687457203865051270e-02
2.616161722689867158e-02,2.665767818689346313e-02
2.606247328221798082e-02,2.510976232588291168e-02
2.513591977767646451e-02,2.589691430330276489e-02
2.558960001915693352e-02,2.447070740163326263e-02
2.458051904104650159e-02,2.530477754771709442e-02
2.562676495872438093e-02,2.407522313296794891e-02
2.539192656986415456e-02,2.463361434638500214e-02
2.509693652391433577e-02,2.447497658431529999e-02
2.499639508314430852e-02,2.474245242774486542e-02
2.478644256480038235e-02,2.579138800501823425e-02
2.468380318023264547e-02,2.569961175322532654e-02
2.474215724505484174e-02,2.552301809191703796e-02
2.462603640742599964e-02,2.459322102367877960e-02
2.386205657385289530e-02,2.397784218192100525e-02
2.406362560577690601e-02,2.331235632300376892e-02
2.411785824224352975e-02,2.334756776690483093e-02
2.364283120259642532e-02,2.371479384601116180e-02
2.526907408609986236e-02,2.343432232737541199e-02
2.432725252583622932e-02,2.362253144383430481e-02
2.394001805223524432e-02,2.369921468198299408e-02
2.332970909774303298e-02,2.344027347862720490e-02
2.261962858028709888e-02,2.231333591043949127e-02
2.289519705809652667e-02,2.362752147018909454e-02
2.247666926123201986e-02,2.282457053661346436e-02
2.233770517632365296e-02,2.337524108588695526e-02
2.205461263656616211e-02,2.246314473450183868e-02
2.271513962186872890e-02,2.292398363351821899e-02
2.223663539625704219e-02,2.219926565885543823e-02
2.248900267295539379e-02,2.312679775059223175e-02
2.263102792203426292e-02,2.286166511476039886e-02
2.177339200861751894e-02,2.251611463725566864e-02
2.265489334240555763e-02,2.290996164083480835e-02
2.263719295151531835e-02,2.313603088259696960e-02
2.135452372021973133e-02,2.308935299515724182e-02
2.303887917660176615e-02,2.341475896537303925e-02
2.205316480249166350e-02,2.208351157605648041e-02
2.231015060096979211e-02,2.291870117187500000e-02
2.349353176541626315e-02,2.283959276974201202e-02
2.219388606026768615e-02,2.307140454649925232e-02
2.306434684433043142e-02,2.365961298346519470e-02
2.320751431398093700e-02,2.404176257550716400e-02
2.384088691323995451e-02,2.322034724056720734e-02
2.212978769093752046e-02,2.380989678204059601e-02
2.149787726812064578e-02,2.298969030380249023e-02
2.103755935095250745e-02,2.259885333478450775e-02
2.147231944836676051e-02,2.242869511246681213e-02
2.278213696554303239e-02,2.280904538929462433e-02
2.179800150915980200e-02,2.214264869689941406e-02
2.168699381873011658e-02,2.272585406899452209e-02
2.148923240602016588e-02,2.263934165239334106e-02
2.204903732053935597e-02,2.265991456806659698e-02
2.144829244352877001e-02,2.290062420070171356e-02
2.077025016769766877e-02,2.247574925422668457e-02
2.131943413987755914e-02,2.264739200472831726e-02
2.241221019066870143e-02,2.394105680286884308e-02
2.297925865277648111e-02,2.252641133964061737e-02
2.243911698460578780e-02,2.223290875554084778e-02
2.178041860461234908e-02,2.201369777321815491e-02
2.207767176441848347e-02,2.309118025004863739e-02
2.253627185709774355e-02,2.411003224551677704e-02
2.205796004272997379e-02,2.189926989376544952e-02
2.198291784152388642e-02,2.204182557761669159e-02
2.063904411625117064e-02,2.138979919254779816e-02
2.169581779744476219e-02,2.261296100914478302e-02
2.104624789208173891e-02,2.223729155957698822e-02
2.134271222166717052e-02,2.214473858475685120e-02
1.996096973307430814e-02,2.274000272154808044e-02
2.015132652595639368e-02,2.208923362195491791e-02
2.030918898526579142e-02,2.284152805805206299e-02
2.156960130669176648e-02,2.271663956344127655e-02
2.189568176399916272e-02,2.213416062295436859e-02
2.074809805490076403e-02,2.242255955934524536e-02
2.034725272096693516e-02,2.210600487887859344e-02
2.179392464458942275e-02,2.339261956512928009e-02
2.185560958459973474e-02,2.222681976854801178e-02
2.184923649765551160e-02,2.240230888128280640e-02
1.982134860008955002e-02,2.210452780127525330e-02
1.970383441075682779e-02,2.216167189180850983e-02
2.011860003694891999e-02,2.240436524152755737e-02
1.982104904018342634e-02,2.209054678678512573e-02
2.013045218773186137e-02,2.142912521958351135e-02
1.939190637785941432e-02,2.293133921921253204e-02
1.989034558646380832e-02,2.160392701625823975e-02
1.920970380306243758e-02,2.141620405018329620e-02
1.972397484350949665e-02,2.207815274596214294e-02
1.895178260747343302e-02,2.169520966708660126e-02
1.892878608778119157e-02,2.131276577711105347e-02
2.100100850220769713e-02,2.384451217949390411e-02
2.272675917483866354e-02,2.351384609937667847e-02
2.110953410156071047e-02,2.275394275784492493e-02
2.065177010372281144e-02,2.267939969897270203e-02
2.051309777889400582e-02,2.235161699354648590e-02
1.995606673881411552e-02,2.210497483611106873e-02
2.090847175568342348e-02,2.316493727266788483e-02
2.059682230465114186e-02,2.208524197340011597e-02
1.938543268479406972e-02,2.203625813126564026e-02
1.910775864962488413e-02,2.100105397403240204e-02
1.897676207590848207e-02,2.172327972948551178e-02
1.880515224765986343e-02,2.200130559504032135e-02
1.899690162390470574e-02,2.152425609529018402e-02
2.020567338913679262e-02,2.146784216165542603e-02
1.884730942547321181e-02,2.234987169504165649e-02
1.922209989279508729e-02,2.165477909147739410e-02
1.954719724599272151e-02,2.157180756330490112e-02
2.021580412983894209e-02,2.401028387248516083e-02
2.024688280653208494e-02,2.255414612591266632e-02
1.968188316095620394e-02,2.256987616419792175e-02
2.009028091561049223e-02,2.352918498218059540e-02
1.896704467944800715e-02,2.148926071822643280e-02
1.859646344091743161e-02,2.146892249584197998e-02
1.972474646754562855e-02,2.265530079603195190e-02
2.004491763655096362e-02,2.201591804623603821e-02
1.922322718892246346e-02,2.207714878022670746e-02
1.850968659855425219e-02,2.272766083478927612e-02
1.969714048318564961e-02,2.146447636187076569e-02
1.814181357622146606e-02,2.159027755260467529e-02
1.976990450639277627e-02,2.143440954387187958e-02
1.935245888307690620e-02,2.211981453001499176e-02
1.929893700871616533e-02,2.109160646796226501e-02
1.953126916196197202e-02,2.173039875924587250e-02
1.942333732731640200e-02,2.291485294699668884e-02
1.906617309432476898e-02,2.115421928465366364e-02
1.866142326034605364e-02,2.250221557915210724e-02
1.849590246565640042e-02,2.101941965520381927e-02
1.931959313806146453e-02,2.189316786825656891e-02
1.927581958007067511e-02,2.122560702264308929e-02
1.922332416288554530e-02,2.100526541471481323e-02
1.916174432262778352e-02,2.209974825382232666e-02
1.846424399409443001e-02,2.180514484643936157e-02
1.897439635358750751e-02,2.278154343366622925e-02
1.981564671732485156e-02,2.197975665330886841e-02
2.041313257068395545e-02,2.175190299749374390e-02
2.016723710112273624e-02,2.225138619542121887e-02
2.018918017856776576e-02,2.261104434728622437e-02
1.940652176272123983e-02,2.242507971823215485e-02
2.016812630463391681e-02,2.105356194078922272e-02
2.006632364355027606e-02,2.298047207295894623e-02
1.965382776688784361e-02,2.260585501790046692e-02
1.934414422139525344e-02,2.190354838967323303e-02
1.784821890760213137e-02,2.098722569644451141e-02
1.842727723997086148e-02,2.182875573635101318e-02
1.811753832735121111e-02,2.093259990215301514e-02
1.772847531829029391e-02,2.120445668697357178e-02
1.888432146515697102e-02,2.134473249316215515e-02
1.806975470390170813e-02,2.119403891265392303e-02
1.786551198456436465e-02,2.144166082143783569e-02
1.804191174451261898e-02,2.127151377499103546e-02
1.927783694118261407e-02,2.199301682412624359e-02
2.141641718335449834e-02,2.401401102542877197e-02
2.182247140444815159e-02,2.373260632157325745e-02
2.000962330494076083e-02,2.239362709224224091e-02
2.045623036101460596e-02,2.169781178236007690e-02
1.776992084924131771e-02,2.189352177083492279e-02
1.786012493539601564e-02,2.228211611509323120e-02
1.820265594869852066e-02,2.180263958871364594e-02
1.776336503680795570e-02,2.204733341932296753e-02
1.791161790024489026e-02,2.282585389912128448e-02
1.826553791761398315e-02,2.201610803604125977e-02
1.811730845365673234e-02,2.169204689562320709e-02
1.761173354461788992e-02,2.067280746996402740e-02
1.822755148168653250e-02,2.167563140392303467e-02
1.849126662127673765e-02,2.140930667519569397e-02
1.757836411707103252e-02,2.169804833829402924e-02
1.795860833954066038e-02,2.197101525962352753e-02
1.977084388490766426e-02,2.072334103286266327e-02
1.781577947549521992e-02,2.085623145103454590e-02
1.780766576994210343e-02,2.223607338964939117e-02
1.780159007757902215e-02,2.108507975935935974e-02
1.757958547677844832e-02,2.207288146018981934e-02
1.857170977164059739e-02,2.185958437621593475e-02
1.813671090640127728e-02,2.208966948091983795e-02
1.869080741889774661e-02,2.150308340787887573e-02
1.753832139074802329e-02,2.170145325362682343e-02
1.799741329159587622e-02,2.126110345125198364e-02
1.790136494673788548e-02,2.148488722741603851e-02
