train_loss,val_loss
1.150693766772747095e-01,1.145121082663536072e-01
1.142316272689236495e-01,1.139336302876472473e-01
1.139235231611463728e-01,1.136136204004287720e-01
1.137615978717803900e-01,1.134842112660408020e-01
1.135577572716607031e-01,1.131008043885231018e-01
1.133375768032338915e-01,1.131510734558105469e-01
1.131909940805700121e-01,1.127635017037391663e-01
1.128952076037724878e-01,1.129542663693428040e-01
1.127125887407196825e-01,1.123060658574104309e-01
1.125409239696131825e-01,1.123674064874649048e-01
1.122629190484682737e-01,1.120164915919303894e-01
1.119317159884505863e-01,1.117810532450675964e-01
1.117817492120795758e-01,1.116473600268363953e-01
1.114215725825892511e-01,1.109912544488906860e-01
1.110557443565792501e-01,1.105949208140373230e-01
1.106792262858814629e-01,1.105995550751686096e-01
1.103707232409053413e-01,1.104301959276199341e-01
1.101265884935855865e-01,1.098994836211204529e-01
1.098618341816796212e-01,1.096631810069084167e-01
1.097042954630321893e-01,1.092796474695205688e-01
1.093998270730177497e-01,1.092661470174789429e-01
1.092707508140140088e-01,1.088432446122169495e-01
1.090251711507638360e-01,1.088997423648834229e-01
1.088686978651417642e-01,1.084418073296546936e-01
1.085986282262537267e-01,1.084112748503684998e-01
1.084102167851395127e-01,1.082139387726783752e-01
1.081654268834325999e-01,1.081333681941032410e-01
1.079932851923836590e-01,1.077738776803016663e-01
1.077396637035740734e-01,1.074753850698471069e-01
1.075022156867716100e-01,1.072665378451347351e-01
1.072639347778426289e-01,1.072286590933799744e-01
1.071615064309703047e-01,1.068830266594886780e-01
1.069208378593126951e-01,1.067223623394966125e-01
1.067850601341989308e-01,1.066327020525932312e-01
1.066435957120524525e-01,1.065277308225631714e-01
1.065221122569507961e-01,1.060836911201477051e-01
1.062146940165095838e-01,1.061864942312240601e-01
1.060943871736526462e-01,1.060405001044273376e-01
1.059006930225425275e-01,1.057556271553039551e-01
1.056620434754424603e-01,1.056455895304679871e-01
1.055111723641554561e-01,1.054725795984268188e-01
1.053694281313154457e-01,1.053276360034942627e-01
1.051039973894754981e-01,1.050227135419845581e-01
1.048180579311317889e-01,1.047178208827972412e-01
1.047308125429683295e-01,1.046425253152847290e-01
1.045622596310244734e-01,1.044139638543128967e-01
1.044177158011330431e-01,1.042586266994476318e-01
1.041146922442648115e-01,1.041168197989463806e-01
1.039775967597961481e-01,1.036809757351875305e-01
1.038460501366191419e-01,1.039301455020904541e-01
1.036824714806344749e-01,1.035475581884384155e-01
1.035249731606907309e-01,1.033127158880233765e-01
1.032668987909952790e-01,1.030216515064239502e-01
1.031775003506077704e-01,1.032828465104103088e-01
1.030156622330347660e-01,1.029802933335304260e-01
1.028870635562472852e-01,1.025279760360717773e-01
1.027817311386267363e-01,1.024071276187896729e-01
1.025870129466056879e-01,1.023890376091003418e-01
1.025212361580795650e-01,1.024593487381935120e-01
1.022973104483551471e-01,1.021278426051139832e-01
1.022034279174274807e-01,1.020114943385124207e-01
1.020806300143400763e-01,1.020378097891807556e-01
1.019135155611567978e-01,1.018958687782287598e-01
1.018181123667293159e-01,1.016887277364730835e-01
1.017025802698400261e-01,1.014783829450607300e-01
1.015574008226394626e-01,1.015874817967414856e-01
1.013948900004228021e-01,1.014970764517784119e-01
1.013049956825044368e-01,1.012686565518379211e-01
1.011544100112385242e-01,1.011828184127807617e-01
1.010197603868113608e-01,1.010326966643333435e-01
1.009056342144807189e-01,1.006752252578735352e-01
1.007507463296254541e-01,1.006857007741928101e-01
1.006792926126056226e-01,1.005493849515914917e-01
1.003968464003668903e-01,1.003521680831909180e-01
1.003074910077783738e-01,1.003071740269660950e-01
1.001950190299087107e-01,9.995377808809280396e-02
1.000756104787190737e-01,9.995363652706146240e-02
9.993658910195032941e-02,9.984637051820755005e-02
9.977714469035466049e-02,9.975374490022659302e-02
9.968428247504763917e-02,9.962161630392074585e-02
9.955346534649531232e-02,9.924419969320297241e-02
9.946069088247087853e-02,9.958599507808685303e-02
9.933583959937095087e-02,9.926228970289230347e-02
9.915417606631914127e-02,9.922552108764648438e-02
9.907173489530880783e-02,9.899690002202987671e-02
9.895387051834000913e-02,9.898588061332702637e-02
9.893313588367567968e-02,9.902864694595336914e-02
9.882426725493537178e-02,9.853737801313400269e-02
9.864876162674691973e-02,9.839151054620742798e-02
9.851347166630956831e-02,9.859602898359298706e-02
9.836610390080345601e-02,9.831852465867996216e-02
9.832295907868279783e-02,9.848393499851226807e-02
9.828488570120599843e-02,9.831465780735015869e-02
9.809343202246559312e-02,9.838378429412841797e-02
9.799049678775999250e-02,9.827624261379241943e-02
9.798301855723062781e-02,9.783802181482315063e-02
9.783213701513078508e-02,9.794272482395172119e-02
9.769518797596295212e-02,9.728371351957321167e-02
9.776155634058845967e-02,9.753959625959396362e-02
9.767669373088412599e-02,9.794837981462478638e-02
9.756706994440821068e-02,9.747857600450515747e-02
9.745313781830999833e-02,9.744866937398910522e-02
9.740016808112463009e-02,9.727256745100021362e-02
9.723090471492873421e-02,9.701060503721237183e-02
