train_loss,val_loss
3.206832972267326110e-02,2.244462259113788605e-02
1.916970520678603143e-02,1.670090295374393463e-02
1.508516764397141267e-02,1.390412263572216034e-02
1.316073015859385749e-02,1.234659645706415176e-02
1.185701738123389609e-02,1.113288570195436478e-02
1.080344278956968385e-02,1.025025174021720886e-02
1.017458039576058827e-02,9.709118865430355072e-03
9.565089246457290917e-03,9.251045063138008118e-03
9.039210848240825449e-03,8.608631789684295654e-03
8.453497189425118741e-03,8.329492993652820587e-03
7.933893527999613671e-03,7.530489470809698105e-03
7.522600906485188074e-03,7.220900617539882660e-03
7.177630534583011486e-03,6.810869090259075165e-03
6.863979072860623871e-03,6.544730160385370255e-03
6.672370834012498336e-03,6.788737606257200241e-03
6.460640297575894614e-03,6.390483118593692780e-03
6.296285289726307605e-03,6.253428291529417038e-03
6.126474854887796646e-03,6.118402350693941116e-03
5.956454225230094907e-03,5.803412757813930511e-03
5.801284164424587095e-03,5.578833632171154022e-03
5.677767652204060954e-03,5.710046272724866867e-03
5.516344791207954470e-03,5.622391123324632645e-03
5.428660615587477777e-03,5.304862279444932938e-03
5.333816192593167881e-03,5.397292785346508026e-03
5.231017169232170076e-03,5.333485081791877747e-03
5.149271725032642834e-03,5.099361296743154526e-03
5.064447820420909727e-03,5.094599444419145584e-03
4.986075863810314479e-03,4.878440406173467636e-03
4.886107263741019252e-03,4.808866884559392929e-03
4.841887783083431880e-03,4.760022275149822235e-03
4.752381944167867120e-03,4.688377957791090012e-03
4.676775253412999121e-03,4.679574165493249893e-03
4.616133094056503600e-03,4.585923627018928528e-03
4.559994499497818481e-03,4.517710767686367035e-03
4.508325291955667634e-03,4.540293011814355850e-03
4.449516187755847910e-03,4.365135449916124344e-03
4.390798082630847053e-03,4.425210878252983093e-03
4.321977052451023843e-03,4.321007523685693741e-03
4.303491292902086700e-03,4.276867490261793137e-03
4.214842778150249859e-03,4.261847585439682007e-03
4.169570829400078178e-03,4.358320031315088272e-03
4.143675624864445219e-03,4.172849003225564957e-03
4.097952821537993208e-03,4.090945236384868622e-03
4.050095586850067757e-03,4.064291249960660934e-03
4.006060289142875964e-03,4.005987197160720825e-03
3.970861933545542961e-03,4.013316240161657333e-03
3.923189370166627922e-03,4.059959203004837036e-03
3.904726082435662753e-03,4.002847708761692047e-03
3.866500778375603700e-03,4.002016969025135040e-03
3.827639186605459685e-03,3.949158824980258942e-03
