train_loss,val_loss
1.479709254843848132e-01,1.571888923645019531e-01
1.367869318595954231e-01,1.526662707328796387e-01
1.258468595998627759e-01,1.444512903690338135e-01
1.167292983404227685e-01,1.387242972850799561e-01
1.156170362872736834e-01,1.382891833782196045e-01
1.156794380928788807e-01,1.336209326982498169e-01
1.140389900122370098e-01,1.361662447452545166e-01
1.119397277278559588e-01,1.331280767917633057e-01
1.128775296466691114e-01,1.216558068990707397e-01
1.107563461576189373e-01,1.298129260540008545e-01
1.118517448859555341e-01,1.297020465135574341e-01
1.111385593456881427e-01,1.224025264382362366e-01
1.107154350195612286e-01,1.375185847282409668e-01
1.120308760021414135e-01,1.294847875833511353e-01
1.110883557370730829e-01,1.277453452348709106e-01
1.116517713027340986e-01,1.245758831501007080e-01
1.102170656834329937e-01,1.308043450117111206e-01
1.109820098749228906e-01,1.295594424009323120e-01
1.108210746731076862e-01,1.271074265241622925e-01
1.097277951027665760e-01,1.258550137281417847e-01
1.133550655628953602e-01,1.217461004853248596e-01
1.113987815167222645e-01,1.292210370302200317e-01
1.091354217912469532e-01,1.275694519281387329e-01
1.119480564125946570e-01,1.263200640678405762e-01
1.094719411006995630e-01,1.303859353065490723e-01
1.091634668409824371e-01,1.263040751218795776e-01
1.119971892663410712e-01,1.316828727722167969e-01
1.093194984963962030e-01,1.231138035655021667e-01
1.134668854730469800e-01,1.260995119810104370e-01
1.097145250865391303e-01,1.297337412834167480e-01
1.122910066374710608e-01,1.311211735010147095e-01
1.109673838530268047e-01,1.327805519104003906e-01
1.111038284642355822e-01,1.212653964757919312e-01
1.114675620836871051e-01,1.319653987884521484e-01
1.118927768298557807e-01,1.365685462951660156e-01
1.138815869178090717e-01,1.311320811510086060e-01
1.106544429702418231e-01,1.268842518329620361e-01
1.117673601422991131e-01,1.220015585422515869e-01
1.114191024431160498e-01,1.236606314778327942e-01
1.134583018720149994e-01,1.335949897766113281e-01
1.092053949832916260e-01,1.327686756849288940e-01
1.113021363105092670e-01,1.285033673048019409e-01
1.102268530854157019e-01,1.208057105541229248e-01
1.113871836236545038e-01,1.324561685323715210e-01
1.111605587814535473e-01,1.285780668258666992e-01
1.118765569158962775e-01,1.281713247299194336e-01
1.107241878552096270e-01,1.313055455684661865e-01
1.102367107357297565e-01,1.322855204343795776e-01
1.075175585491316699e-01,1.286646425724029541e-01
1.101292776209967517e-01,1.283130049705505371e-01
1.092559439795357801e-01,1.240959390997886658e-01
1.065170818141528558e-01,1.263487190008163452e-01
1.082622563200337507e-01,1.274874061346054077e-01
1.132770547909396075e-01,1.175224408507347107e-01
1.105538904666900635e-01,1.277836710214614868e-01
1.121058171348912336e-01,1.340060979127883911e-01
1.092478829835142468e-01,1.323559433221817017e-01
1.087370977870055627e-01,1.200917661190032959e-01
1.093357742897101831e-01,1.276891976594924927e-01
1.099885090121201087e-01,1.257167756557464600e-01
1.070296588752951000e-01,1.359226405620574951e-01
1.093484626284667444e-01,1.399798840284347534e-01
1.077240939651216839e-01,1.342219561338424683e-01
1.093767689807074450e-01,1.274282783269882202e-01
1.111411207488604974e-01,1.304390579462051392e-01
1.124377969120230053e-01,1.253228932619094849e-01
1.117582427603857897e-01,1.205883547663688660e-01
1.114463582634925842e-01,1.245651543140411377e-01
1.088932337505476855e-01,1.261621266603469849e-01
1.082990600594452429e-01,1.239931583404541016e-01
1.089100646121161364e-01,1.228424683213233948e-01
1.073388366826942969e-01,1.236665397882461548e-01
1.097333936819008399e-01,1.268393397331237793e-01
1.103275056396211956e-01,1.330476701259613037e-01
1.114197564976555921e-01,1.348581016063690186e-01
1.085433044603892755e-01,1.403563916683197021e-01
1.063536778092384338e-01,1.300765722990036011e-01
1.067415284258978747e-01,1.305375099182128906e-01
1.113586218229361963e-01,1.248338147997856140e-01
1.088561059108802270e-01,1.333700418472290039e-01
1.096123659185000848e-01,1.312420964241027832e-01
1.083466192441327192e-01,1.337458491325378418e-01
1.096813865005970001e-01,1.262753307819366455e-01
1.095844794596944477e-01,1.246920824050903320e-01
1.089973620006016303e-01,1.261319965124130249e-01
1.117284548069749500e-01,1.145648211240768433e-01
1.087362537426607989e-01,1.288032382726669312e-01
1.076427054192338612e-01,1.252612769603729248e-01
1.087086599852357532e-01,1.219863146543502808e-01
1.112578958272933960e-01,1.342124938964843750e-01
1.119737236627510596e-01,1.306771039962768555e-01
1.093053285564695026e-01,1.296207308769226074e-01
1.130998693406581879e-01,1.199868917465209961e-01
1.086544383849416401e-01,1.261933445930480957e-01
1.116447342293603040e-01,1.258482784032821655e-01
1.081489127661500599e-01,1.293778866529464722e-01
